execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER ACCOUNT,First_join,First_tweet,Comments,Twitterlist,Number_follower,Number_following
34558,Michael D. Siegal,YES,Green,@msiegal1,3/16/2011,1/17/2012,New,1,111,44
5986,"Michael J. Critelli, J.D.",,Green,@mjcritelli,11/27/2010,11/27/2010,retair ,1,146,27
26973,Michael J. Newsome,,Red,@MichaelJNewsome,1/27/2015,1/29/2015,fake account,1,3,12
18601,Michael J. Saylor,YES,Blue,@michael_saylor,1/29/2011,2/1/2011,,1,34227,223
34625,Michael L. Baur,YES,Green,@scanman57,6/22/2009,3/13/2010,,1,do not authorize to access his/her account
41050,Michael L. Reger,,Green,@mlreger,10/19/2013,5/22/2015,low tweets ,1,313,339
16589,Michael P. Durney,,Red,@MikeDurney1,2/28/2014,,No tweeted ,1,40,20
40025,Michael P. Skarzynski,,Green,@redliontech,3/7/2010,2/13/2014,retair ,1,596,1824
34509,Michael Rapino,YES,Blue,@rapino99,2/25/2009,3/8/2009,,1,29241,392
281,Michael S. Dell,YES,Blue,@MichaelDell,7/20/2009,3/9/2010,retair ,1,1099147,2327
15883,Michael S. Jeffries,,Red,@JeffriesBoy69,5/15/2013,5/15/2013,fake account,1,16,9
13751,Michael T. Wedge,,Green,@4thSourceCEO,3/28/2011,4/6/2011,retair ,1,41,25
174,Micky M. Arison,YES,Blue,@MickyArison,8/10/2011,8/11/2011,Wrong,1,225841,249
23474,Mindy F. Grossman,YES,Green,@mindygrossman,6/13/2013,7/4/2014,low tweets ,1,681,28
30847,Muhtar Kent,,Blue,@MuhtarKent,11/15/2011,4/18/2015,first tweet after retair ,1,7587,139
32380,Naren K. Gursahaney,YES,Green,@NarenGursahaney,11/14/2012,11/15/2012,,1,473,131
4618,Niel C. Ellerbrook,,Green,@nielvvc,2/9/2012,2/28/2013,low tweets ,1,22,38
39948,Ofer Elyakim,,Green,@OferElyakim,5/1/2012,,No tweeted ,1,2,3
43432,Omar S. Ishrak,,Green,@MedtronicCEO,6/13/2011,6/13/2011,,1,15044,155
42088,Patrick C. Henry,,Green,@QuestFusion,1/26/2015,1/27/2015,retair ,1,11587,10765
43691,Patrick K. Decker,,Green,@PatrickKDecker,7/31/2014,8/1/2014,,1,971,296
21289,Paul B. Dykstra,YES,Green,@PaulDykstra14,4/18/2011,5/14/2014,first tweet after retair ,1,20,47
45646,Paul Galant,YES,Green,@PaulGalant,10/29/2013,11/9/2013,,1,1164,547
18624,Paul L. Sagan,YES,Green,@PaulSagan1,7/24/2012,8/4/2012,,1,864,201
17098,Paul M. Black,,Green,@PaulMBlack,7/14/2015,7/14/2015,retair ,1,457,209
20985,Paul T. Hanrahan,,Green,@PTHanrahan,7/28/2011,1/6/2012,low tweets ,1,35,83
20414,Pehong Chen,YES,Green,@PehongChen,4/22/2009,11/4/2011,low tweets ,1,108,18
40254,Peter A. Altabef,,Green,@PAltabef,4/14/2012,,No tweeted ,1,53,42
18079,"Peter C. Farrell, Ph.D., BE (Hons), ScD, AM",,Green,@fa331250901,7/9/2015,8/7/2015,retair ,1,89,149
241,"Peter Karmanos, Jr.",YES,Green,@karmanosunplggd,10/18/2010,10/27/2010,,1,1035,97
40690,Phaneesh Murthy,,Green,@PhaneeshMurthy,12/10/2014,12/10/2014,retair ,1,171,67
27571,Philip C. Mezey,,Green,@PhilipMezey,8/26/2014,,No tweeted ,1,41,13
24904,Ralph G. Quinsey,YES,Red,@quinseyr,12/11/2013,12/23/2013,fake account,1,15,9
12661,Ramani Ayer,,Red,@RamaniAyer,3/19/2009,,No tweeted ,1,7,0
19406,Randall D. Stilley,YES,Green,@rdstilley,4/30/2009,5/17/2009,,1,476,130
43977,Randall S. Dearth,YES,Green,@RSDearth,3/15/2009,5/28/2009,New,1,62,83
5881,Randy H. Thurman,,Red,@RandyThurman1,4/8/2012,9/23/2012,fake account,1,8,22
42730,Randy L. Ortiz,YES (But different account),Green,@lojackceo,9/18/2013,9/19/2013,,1,do not authorize to access his/her account
16188,Raymond D. Zinn,,Green,@Ray_Zinn_,5/8/2015,6/8/2015,retair ,1,2341,3533
31461,Reed Hastings,YES,Green,@reedhastings,6/26/2008,6/2/2014,,1,19792,61
30038,"Renato Cataldo, Jr., Pharm.D.",,Green,@C4ECEO,11/2/2009,2/4/2013,first tweet after retair ,1,321,803
36440,Richard A. Meeusen,YES,Green,@rmeeusen,5/20/2009,6/9/2009,,1,1173,17
3817,Richard M. Beyer,,Red,@richbeyer,9/16/2009,8/13/2012,fake account,1,59,2
837,Richard Robinson,,Green,@RichardR_29,3/30/2010,3/30/2010,,1,154,143
14194,"Richard S. Fuld, Jr.",,Red,@RichardFuld,3/27/2009,3/27/2009,fake account,1,62,27
2767,Richard Wagoner,,Red,@RwWxGuy,1/24/2009,,"protected, 74",1,do not authorize to access his/her account
22978,Robert A. Kotick,,Green,@Robert_A_Kotick,N/A,8/19/2014,low tweets ,1,user account is suspended
26697,Robert A. Niblock,,Red,@RobertaNiblock,1/12/2012,1/13/2012,fake account,1,113,0
18117,Robert C. Hagerty,YES,Green,@BobHagerty,5/18/2009,5/18/2009,,1,292,7
28580,Robert C. Paul,,Green,@bobcpaul,10/26/2011,10/26/2011,,1,203,53
21224,Robert C. Pohlad,YES,Green,@robopoh,9/6/2009,8/21/2010,retair ,1,58,67
28074,Robert D. Monson,,Red,@robertmonson,1/11/2010,1/11/2010,fake account,1,26,4
20501,Robert D. Wachob,,Red,@wachob2006,12/7/2014,12/7/2014,fake account,1,7,9
15584,Robert E. Beauchamp,,Green,@bob_beauchamp,1/20/2012,1/16/2015,retair ,1,1202,217
21436,Robert L. Nardelli,,Green,@bobnardelli,4/9/2014,4/10/2014,retair ,1,644,74
16277,Robert M. Calderoni,,Red,@CalderoniRacvt,12/29/2013,12/30/2013,fake account,1,5,12
34473,Robert O. Carr,,Green,@therobertcarr,10/8/2015,9/10/2015,2015y,1,5826,180
41706,Robert P. LoCascio,YES,Green,@RobLoCascio,12/2/2008,12/2/2008,,1,1904,303
17624,Robert Rosenkranz,,Green,@RosenkranzBlog,6/3/2015,6/3/2015,2015y,1,2282,518
12743,Robert W. Pittman,,Green,@PittmanRadio,4/8/2011,4/18/2011,,1,2943,33
16312,Rolla P. Huff,YES,Green,@RollaHuff,6/14/2013,6/15/2013,,1,25,30
23632,Ronald J. Buschur,,Green,@RonaldBuschur,6/8/2013,6/28/2013,retair ,1,17,36
42390,Rory P. Read,,Green,@RoryRead,8/26/2011,,No tweeted ,1,192,0
35601,Roy H. Bubbs,,Red,@roybubbs,5/26/2011,,fake account,1,15,17
13960,Russell P. Fradin,,Green,@rfradin,1/22/2008,1/22/2008,,1,5093,1566
14481,"S. David Passman, III",YES,Green,@dpassmaniii,2/22/2009,9/3/2009,fake account,1,57,58
29988,Salomon Sredni,YES,Green,@TRADrules,7/16/2009,12/2/2011,first tweet after retair ,1,26,123
31887,Samuel L. Caster,,Green,@TheSamCaster,5/11/2010,12/17/2010,retair ,1,226,103
35566,Sardar Biglari,,Red,@notSardar,11/16/2014,11/16/2014,fake account,1,40,40
45617,Scott A. Buckhout,,Red,@scbuckhout,9/28/2010,9/28/2010,fake account,1,593,666
