Controlling Corporation ,Reporter ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Begin year,Begin Month,End year,End Month
NRG VICTORIA I PTY LTD ,26076286578,6301561,55547,47878292,2014,8,2015,7
NSW TRAINS ,50325560455,61533,163234,1608291,2014,8,2015,7
NUFARM LIMITED ,37091323312,11402,46554,349929,2014,8,2015,7
NYRSTAR AUSTRALIA PTY LTD ,46124535468,355837,286957,9072764,2014,8,2015,7
OLAM ORCHARDS AUSTRALIA PTY LTD ,15139442532,8629,96834,425041,2014,8,2015,7
ORICA LIMITED ,24004145868,1561244,283894,20778465,2014,8,2015,7
ORIGIN ENERGY LIMITED ,30000051696,16743130,399667,157816243,2014,8,2015,7
ORORA LIMITED ,55004275165,314074,324737,6519683,2014,8,2015,7
OWENS-ILLINOIS (AUSTRALIA) PTY LTD ,30002060059,301456,208709,5353096,2014,8,2015,7
OZ MINERALS LIMITED ,40005482824,180290,199209,3798773,2014,8,2015,7
OZGEN HOLDINGS AUSTRALIA PTY LTD2 ,34128655096,10345529,25158,74263522,2014,8,2015,7
PACT GROUP HOLDINGS LTD ,55145989644,12502,248693,1130989,2014,8,2015,7
PANORAMIC RESOURCES LIMITED ,47095792288,56987,13927,906915,2014,8,2015,7
PAPER AUSTRALIA PTY LTD ,63061583533,362902,296859,16270982,2014,8,2015,7
PARMALAT AUSTRALIA PTY LTD ,56072928879,46059,108014,1251868,2014,8,2015,7
PEABODY AUSTRALIA HOLDCO PTY LTD ,61154820130,3187053,306014,11061364,2014,8,2015,7
PEAK GOLD ASIA PACIFIC PTY LTD ,93103879054,9179,73363,448121,2014,8,2015,7
PECHINEY CONSOLIDATED AUSTRALIA PTY LTD ,39076569769,1123804,7070284,39518305,2014,8,2015,7
PERILYA LIMITED ,85009193695,12707,135065,772955,2014,8,2015,7
PFD FOOD SERVICES PTY LTD ,29006972381,28825,38088,548424,2014,8,2015,7
PMP LIMITED ,39050148644,11224,66302,468624,2014,8,2015,7
