Controlling Corporation,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption (GJ),Begin year,Begin Month,End year,End Month
Port Waratah Coal Services Limited,858,123765,506483,2010,8,2011,7
Positive Investments Pty. Ltd.,4638,71871,348653,2010,8,2011,7
POTA Holdings Pty Limited,75518,9736,1124002,2010,8,2011,7
Power and Water Corporation,1053167,123618,20681660,2010,8,2011,7
Pratt Consolidated Holdings Pty. Ltd.,371120,1091979,20858331,2010,8,2011,7
Prime Infrastructure Holdings Limited,140153,3804,346263,2010,8,2011,7
Primo Group Holdings P/L,1709,87040,742911,2010,8,2011,7
Prosafe Production Services (Australia) Pty Ltd,530771,0,5786075,2010,8,2011,7
PTTEP Australia Perth Pty Ltd,55714,661,354480,2010,8,2011,7
Public Transport Authority of Western Australia,9052,107235,601160,2010,8,2011,7
Qantas Airways Limited,4362807,216941,63626827,2010,8,2011,7
Qenos Holdings Pty Ltd,803578,351183,38018007,2010,8,2011,7
QIC Limited,3232,105751,457932,2010,8,2011,7
QMAG Limited,376339,112058,2605781,2010,8,2011,7
QR National Limited,659175,455050,11337322,2010,8,2011,7
Queensland Alumina Limited,3141436,728944,43683468,2010,8,2011,7
Queensland Electricity Transmission Corporation Limited,8835,1577315,6424633,2010,8,2011,7
Queensland Nickel Pty Ltd,1341801,45070,19242038,2010,8,2011,7
Queensland Nitrates Pty Ltd,583926,47911,3309733,2010,8,2011,7
Queensland Rail Limited,37176,214588,1413659,2010,8,2011,7
R.G. Withers Nominess Pty Ltd as trustee for R.G. Withers Unit Trust,437,92760,329930,2010,8,2011,7
Rail Corporation New South Wales,74454,662632,3726648,2010,8,2011,7
Ramsay Health Care Limited,13672,154991,858870,2010,8,2011,7
Rata International Pty Ltd,13636,71343,468816,2010,8,2011,7
Redbank Energy Limited,1174312,1728,13580181,2010,8,2011,7
Regional Express Holdings Ltd,96101,1420,1386805,2010,8,2011,7
Regional Power Corporation,37460,38926,922464,2010,8,2011,7
Resolute Mining Limited,16504,100902,651020,2010,8,2011,7
Ricegrowers Limited,7814,65792,394542,2010,8,2011,7
Ridley Corporation Limited,26484,55012,714319,2010,8,2011,7
Rio Doce Australia Pty Limited,1538153,100720,2044708,2010,8,2011,7
Rio Tinto Limited,8110133,9983117,137961859,2010,8,2011,7
Ritchies Stores Pty Ltd,12867,83111,283921,2010,8,2011,7
Ron Finemore Transport Pty Limited,50787,448,783406,2010,8,2011,7
Royal Melbourne Institute of Technology,7203,73306,353003,2010,8,2011,7
Salvage Pty Ltd,10013,231111,982144,2010,8,2011,7
Santos Ltd,3457537,40267,202735743,2010,8,2011,7
Saracen Mineral Holdings,67441,49,1176568,2010,8,2011,7
SCA Tissue Australia Pty Limited,46504,163632,1382351,2010,8,2011,7
Scott's Refrigerated Freightways Pty Ltd,58895,7459,869478,2010,8,2011,7
Scotts Transport Industries Pty Ltd,73184,1747,1054216,2010,8,2011,7
Sealed Air Australia (Holdings) Pty Limited,4417,66014,282329,2010,8,2011,7
SeaRoadHoldings Pty Ltd,52230,1459,732758,2010,8,2011,7
Sembsita Australia Pty. Limited,634278,35246,1101071,2010,8,2011,7
Seven Group Holdings Limited,26844,50333,588929,2010,8,2011,7
Shell Australia Limited,1671916,556999,421535809,2010,8,2011,7
Sibelco Asia Pacific Pty Ltd,300699,181822,2923487,2010,8,2011,7
Silicon Metal Company of Australia Pty Ltd,39579,304119,3923655,2010,8,2011,7
Silk Logistics Group Holdings Pty Limited,75412,1415,1086269,2010,8,2011,7
Simplot Australia (Holdings) Pty Limited,88189,79932,1558217,2010,8,2011,7
Sims Metal Management Limited,38155,39019,566204,2010,8,2011,7
Singapore Telecom Australia Investments Pty Limited,2684,322781,1256804,2010,8,2011,7
Snowy Hydro Limited,203764,314619,22615358,2010,8,2011,7
Sojitz Coal Resources Pty Limited,109739,22,939464,2010,8,2011,7
Sonic Healthcare Limited,6646,55328,325907,2010,8,2011,7
Sonoma Mine Management Pty Ltd,168175,30945,1311220,2010,8,2011,7
South Australian Water Corporation,60791,192357,1511020,2010,8,2011,7
Southern Cross Airports Corporation Holdings Limited,4696,90896,448405,2010,8,2011,7
Southern Health,12435,69889,523633,2010,8,2011,7
SP Australia Networks (Transmission) Ltd,33723,1558077,4596309,2010,8,2011,7
SPI (Australia) Assets Pty Ltd,598189,271258,3373212,2010,8,2011,7
SPI Electricity & Gas Australia Holdings Pty Ltd,152586,691214,2217962,2010,8,2011,7
Spotless Group Limited,42069,46693,935666,2010,8,2011,7
St Barbara Limited,79713,48765,1809297,2010,8,2011,7
St John of God Health Care Inc,11853,52067,408076,2010,8,2011,7
St Vincent's Health Australia Ltd,10579,111527,644885,2010,8,2011,7
Stanwell Corporation Limited,5929509,12364,70751592,2010,8,2011,7
State Transit Authority of NSW,149536,10983,2405565,2010,8,2011,7
Stockland Corporation Ltd,29050,132685,945227,2010,8,2011,7
Straits Resources Limited,14865,50465,414521,2010,8,2011,7
Sumitomo Forestry Australia Pty Ltd,7138,63234,768250,2010,8,2011,7
Sun Metals Holdings Limited,15173,807862,3335222,2010,8,2011,7
